Symbol,TotalTrades,StartingEquity,FinalEquity,TotalProfit,PctGain,MaxEquity,MinEquity,MaxDrawdownPct
EW,186,100000.0,145538.74991815496,45538.749918154965,45.53874991815496,145538.74991815496,100214.04007756949,-31.142709323856526
EWG,175,100000.0,112261.73117335503,12261.73117335503,12.261731173355031,112349.52679748555,99943.72176464999,-11.042151566154356
EWZ,190,100000.0,120178.41417741383,20178.414177413826,20.178414177413824,122570.41409303155,98340.71699317837,-19.767981759009736
EXAS,108,100000.0,154930.50317492234,54930.50317492234,54.93050317492234,154930.50317492234,100555.7600790159,-35.09621538795063
EXC,192,100000.0,141547.9804030014,41547.98040300139,41.54798040300139,141660.12436669887,100341.95121951218,-29.167116245240056
EXE,188,100000.0,135589.33224020537,35589.332240205375,35.58933224020537,135589.33224020537,99416.49522095808,-26.678232292762345
EXPD,75,100000.0,107764.46950868951,7764.469508689508,7.7644695086895075,108943.41790416672,99863.91215237176,-8.334148061869923
EXPE,54,100000.0,114493.89404945506,14493.894049455062,14.493894049455061,114922.38413714882,99843.20516330238,-13.121185300029012
EXR,55,100000.0,112264.62168490335,12264.621684903352,12.264621684903352,112264.62168490335,99971.6261560042,-10.950017329058735
F,101,100000.0,120082.1764023669,20082.176402366895,20.082176402366894,120101.19915507111,99480.34193500537,-17.169568135153
FANG,116,100000.0,135076.05303245998,35076.05303245998,35.07605303245998,135753.55463554658,101285.89254057001,-25.389878141689064
FAST,161,100000.0,128665.84724313312,28665.847243133117,28.66584724313312,128665.84724313312,99827.03717816061,-22.413725695582077
FCEL,201,100000.0,203390.84814936225,103390.84814936225,103.39084814936226,203390.84814936225,66606.93855551051,-67.25175239615649
FCX,145,100000.0,142143.01372685362,42143.01372685362,42.14301372685362,142143.01372685362,100047.11551726052,-29.61517214661416
FDS,90,100000.0,118841.43485769207,18841.434857692075,18.841434857692075,118841.43485769207,100224.12825972479,-15.6656696549152
FDX,88,100000.0,114734.1754455207,14734.175445520697,14.734175445520698,114734.1754455207,99983.27053072676,-12.856592081230511
FE,78,100000.0,111672.81873659397,11672.818736593967,11.672818736593966,111672.81873659397,100083.42964824119,-10.377985636494962
FFIV,56,100000.0,118495.257992873,18495.257992872997,18.495257992873,118495.257992873,100394.80805005918,-15.2752525707843
FICO,26,100000.0,135971.35089965965,35971.35089965965,35.97135089965965,135971.35089965965,99608.61638344359,-26.742938329008748
FIS,203,100000.0,166957.24033299822,66957.24033299822,66.95724033299821,167087.1159174344,100131.89923930666,-40.07204045057158
FITB,149,100000.0,124138.35848761367,24138.358487613674,24.138358487613672,124539.16724118171,98171.64787201789,-21.172069761877136
FTNT,190,100000.0,155717.97775052505,55717.97775052505,55.71797775052505,155717.97775052505,101111.91747572816,-35.06728064647807
FXI,214,100000.0,120074.5405391872,20074.540539187205,20.074540539187204,120074.5405391872,100419.11148365465,-16.36935604106506
GDX,138,100000.0,130911.48407283802,30911.484072838022,30.911484072838025,130911.48407283802,100184.35514018692,-23.471683290638424
GE,111,100000.0,115770.23187380067,15770.231873800672,15.770231873800672,115770.23187380067,97557.36954326754,-15.731904510985764
GEHC,149,100000.0,137015.27313034484,37015.27313034484,37.01527313034484,137015.27313034484,100197.97353760444,-26.87094566290833
GFS,158,100000.0,158751.16798510336,58751.167985103355,58.75116798510336,158751.16798510336,98802.05605236742,-37.762942278548365
GILD,218,100000.0,136962.47321508103,36962.47321508103,36.96247321508103,136962.47321508103,97322.44590469456,-28.942254312345234
GLD,120,100000.0,109426.54679133341,9426.546791333414,9.426546791333413,109426.54679133341,100312.49186303867,-8.328924923194762
GM,92,100000.0,125338.79025018078,25338.790250180784,25.338790250180782,125338.79025018078,100088.90806289371,-20.14530548514741
GME,217,100000.0,189898.70222173372,89898.70222173372,89.89870222173371,189898.70222173372,100382.39616340936,-47.138977260519326
GOOG,117,100000.0,106692.70130357293,6692.701303572932,6.692701303572933,107549.24299912385,98814.11872451565,-8.121976530024819
GOOGL,165,100000.0,112743.51049417909,12743.510494179092,12.743510494179091,112743.51049417909,99985.30947408866,-11.316128940963866
GS,80,100000.0,104106.75631301248,4106.756313012476,4.106756313012476,104364.35028912338,93535.84898346805,-10.37567069181846
HAL,162,100000.0,164486.6505140179,64486.65051401791,64.48665051401791,164607.02124195767,99992.84495967158,-39.253596714631634
HBAN,184,100000.0,130557.53488975551,30557.53488975551,30.557534889755512,130557.53488975551,100026.6327914613,-23.385017283050647
HD,200,100000.0,132435.3301121791,32435.3301121791,32.4353301121791,132435.3301121791,99773.81667631572,-24.662235831025985
HON,236,100000.0,131299.91663037956,31299.916630379565,31.299916630379563,131299.91663037956,99983.62997976523,-23.850956995481074
HPQ,241,100000.0,165262.43598254534,65262.43598254534,65.26243598254534,165262.43598254534,101144.20990333399,-38.79782220200565
HRB,214,100000.0,143547.5870159797,43547.58701597969,43.54758701597969,143547.5870159797,99420.91096198495,-30.740102966051648
HSBC,169,100000.0,114568.24667381411,14568.246673814108,14.568246673814109,114568.24667381411,99085.38686281457,-13.514093355273737
HST,198,100000.0,144963.46517614025,44963.46517614025,44.96346517614025,145107.1226507411,98785.22712956872,-31.922551198720083
IAU,126,100000.0,109742.96891251107,9742.968912511074,9.742968912511074,109742.96891251107,99902.87560130707,-8.966490891137358
IBB,94,100000.0,122632.32023676255,22632.32023676255,22.63232023676255,123544.22898664673,98941.45586734723,-19.91414194017811
IBM,204,100000.0,136832.32132333895,36832.321323338954,36.83232132333896,136832.32132333895,100142.39511998616,-26.813786281278805
IDXX,39,100000.0,104012.3387867359,4012.338786735898,4.012338786735898,104989.25507140318,100276.07367854947,-4.489203575783333
INO,116,100000.0,150166.24938160964,50166.24938160964,50.16624938160964,150166.24938160964,99738.14889006321,-33.5815142878052
INTC,139,100000.0,154639.73223315532,54639.732233155315,54.639732233155314,154639.73223315532,100397.6143141153,-35.07644325021038
INTU,214,100000.0,153864.1146586434,53864.114658643404,53.8641146586434,154044.5699054367,99605.6533452938,-35.339717974844106
ISRG,177,100000.0,141048.87237048583,41048.87237048583,41.04887237048583,141048.87237048583,100167.79302561576,-28.983627205107915
IWM,159,100000.0,120768.19221819626,20768.19221819626,20.76819221819626,120768.19221819626,100405.72089122601,-16.860790041620096
JBLU,193,100000.0,122379.5325884035,22379.532588403497,22.379532588403496,123256.00533315109,99274.73029622712,-19.456475951905553
JD,260,100000.0,143716.1182418315,43716.118241831486,43.71611824183149,143716.1182418315,94482.73181801688,-34.25738673303815
