Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
81,Fixed_ATR_Asymmetric,Short,50,4.5,6.0,60013,27732,31835,0.46209987835968874,11445981.950095173,12183091.844484167,-737109.8943889914,0.9394973046417017,412.73553837066106,382.6948906701482,1.078497645076755,-692512.7590031868
82,Fixed_ATR_Asymmetric,Short,14,3.5,6.0,60081,26719,32945,0.4447162996621228,11738309.22557144,12475122.798623715,-736813.5730522752,0.9409373691188385,439.32442178118345,378.6651327553108,1.1601924333103835,-693295.424958859
83,Fixed_ATR_Asymmetric,Short,14,3.5,4.0,60081,28437,31266,0.4733110301093524,11301792.78223133,12061414.283122107,-759621.500890773,0.9370205281851783,397.43266808141965,385.76774397499224,1.0302382049526246,-711780.93998549
84,Fixed_ATR_Asymmetric,Short,20,4.0,4.0,60058,29350,30310,0.4886942622131939,11318324.424885236,12081723.742881067,-763399.3179958293,0.9368137085202225,385.632859450945,398.60520431808203,0.967455656056148,-715162.9461734814
85,Fixed_ATR_Asymmetric,Short,20,4.0,6.0,60058,27392,32220,0.4560924439708282,11828340.01506183,12601353.18183795,-773013.1667761211,0.9386563366948363,431.817319475096,391.10345070881283,1.1040999988430062,-725593.7073429484
86,Fixed_ATR_Asymmetric,Short,14,3.5,5.0,60081,27276,32395,0.4539871173915214,11564955.434463073,12341421.565950528,-776466.1314874544,0.9370845467567778,423.99748623196484,380.96686420591226,1.11295108858285,-727614.4128969099
87,Fixed_ATR_Asymmetric,Short,30,4.5,6.0,60033,27935,31639,0.4653274032615395,11824885.002861235,12609788.150524626,-784903.1476633903,0.9377544540563328,423.29998220373136,398.5520449611121,1.0620946186464406,-736046.4227241797
88,Fixed_ATR_Asymmetric,Short,30,4.5,5.0,60033,28681,30903,0.47775390202055534,11586038.904576493,12378215.012049718,-792176.1074732221,0.9360023956037222,403.96216675068837,400.55059418340346,1.0085172076057958,-741478.7343349676
89,Fixed_ATR_Asymmetric,Short,20,4.0,5.0,60058,28015,31606,0.46646574977521726,11606460.317330906,12437752.105991192,-831291.7886602855,0.9331638240112651,414.29449642444786,393.5250302471427,1.0527780054149578,-775731.4243753965
90,Fixed_ATR_Asymmetric,Short,20,4.5,6.0,60058,28057,31533,0.46716507376203004,12036621.898262637,12931735.689422425,-895113.7911597881,0.9307816202977338,429.00601982616234,410.10166141573666,1.0460967613375787,-833155.464886555
91,Fixed_ATR_Asymmetric,Short,14,4.0,6.0,60081,27540,32086,0.4583811853997104,11989021.621696116,12915410.04581432,-926388.4241182051,0.9282726277499466,435.33121356921265,402.5247785892389,1.081501653376354,-859941.0167733382
92,Fixed_ATR_Asymmetric,Short,14,4.0,4.0,60081,29275,30393,0.48725886719595213,11526527.508848589,12463669.086459571,-937141.5776109841,0.9248101364766588,393.73279278731303,410.0835418175097,0.96012824860581,-866678.0302883656
93,Fixed_ATR_Asymmetric,Short,20,4.5,5.0,60058,28691,30909,0.4777215358486796,11808553.974040803,12756705.441123445,-948151.4670826427,0.9256742682145727,411.5769395992054,412.71815461915446,0.9972348804936818,-877679.4154482988
94,Fixed_ATR_Asymmetric,Short,14,4.0,5.0,60081,28104,31529,0.467768512508114,11802115.647403542,12769920.778197004,-967805.1307934622,0.9242121272634781,419.9443370126509,405.02143354362664,1.0368447253234485,-894457.2387071344
95,Fixed_ATR_Asymmetric,Short,14,4.5,6.0,60081,28157,31451,0.468650654949152,12180881.94090941,13231078.119737417,-1050196.1788280085,0.9206265604870566,432.605815282502,420.68863055983644,1.0283278031707361,-966838.4959510793
96,Fixed_ATR_Asymmetric,Short,14,4.5,5.0,60081,28725,30890,0.47810455884555847,11985324.198341142,13076794.017553767,-1091469.8192126253,0.9165338371356558,417.24366225730694,423.33421876185713,0.9856128887422247,-1000369.021520708
